Date,Price
12/31/1999,2021.4
1/4/2000,1925.41
1/5/2000,1929.28
1/6/2000,1931.51
1/7/2000,1983.83
1/11/2000,1979.92
1/12/2000,1971.36
1/13/2000,1995.35
1/14/2000,2016.64
1/18/2000,2002.88
1/19/2000,2004.02
1/20/2000,1989.81
1/21/2000,1984.01
1/24/2000,1929.2
1/25/2000,1940.9
1/26/2000,1932.78
1/27/2000,1925.31
1/28/2000,1872.61
1/31/2000,1919.84
2/1/2000,1940.24
2/2/2000,1940.21
2/3/2000,1962.21
2/4/2000,1961.44
2/7/2000,1961.3
2/8/2000,1985.49
2/9/2000,1944.57
2/10/2000,1951.65
2/14/2000,1914.88
2/15/2000,1931.58
2/16/2000,1912.12
2/17/2000,1912.96
2/18/2000,1854.85
2/22/2000,1863.26
2/23/2000,1875.16
2/24/2000,1865.2
2/25/2000,1837.7
2/28/2000,1858.17
2/29/2000,1883.5
3/1/2000,1901.51
3/2/2000,1905.09
3/3/2000,1942.89
3/6/2000,1918.44
3/7/2000,1869.33
3/8/2000,1884.81
3/9/2000,1933.11
3/10/2000,1923.98
3/13/2000,1908.42
3/14/2000,1874.69
3/15/2000,1920.28
3/16/2000,2012.03
3/17/2000,2020.31
3/21/2000,2060.9
3/22/2000,2070.27
3/23/2000,2107.13
3/24/2000,2107.28
3/27/2000,2102.31
3/28/2000,2080.08
3/29/2000,2081.44
3/30/2000,2053.05
3/31/2000,2067.75
4/3/2000,2077.97
4/4/2000,2062.53
4/5/2000,2052.52
4/6/2000,2072.15
4/7/2000,2092.87
4/10/2000,2076.46
4/11/2000,2071.22
4/12/2000,2025.23
4/13/2000,1988.43
4/14/2000,1872.55
4/17/2000,1934.5
4/18/2000,1990.04
4/19/2000,1970.58
4/20/2000,1980.36
4/24/2000,1973.91
4/25/2000,2039.6
4/26/2000,2017.04
4/27/2000,2022.68
4/28/2000,2005.55
5/1/2000,2027.39
5/2/2000,1997.09
5/8/2000,1967.01
5/9/2000,1950.5
5/10/2000,1910.79
5/11/2000,1945.38
5/12/2000,1963.59
5/15/2000,2007.03
5/16/2000,2025.96
5/17/2000,2000.94
5/18/2000,1986.4
5/19/2000,1944.65
5/22/2000,1936.04
5/23/2000,1898.94
5/24/2000,1933.85
5/25/2000,1909.67
5/26/2000,1904.98
5/30/2000,1966.59
5/31/2000,1964.4
